# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 94846.9 0.2
  1 2 4 93421.4 0.2
  1 3 4 93110.2 0.2
  1 4 4 93889.7 0.2
  1 5 4 95627.5 0.2
  1 6 4 98136.9 0.2
  1 7 4 101217 0.2
  1 8 4 104677 0.2
  1 9 4 108343 0.2
  1 10 4 112059 0.2
  1 11 4 115690 0.2
  1 12 4 119122 0.2
  1 13 4 122272 0.2
  1 14 4 125092 0.2
  1 15 4 127572 0.2
  1 16 4 129720 0.2
  1 17 4 131557 0.2
  1 18 4 133109 0.2
  1 19 4 134399 0.2
  1 20 4 135439 0.2
  1 21 4 145049 0.2
  1 22 4 153975 0.2
  1 23 4 162138 0.2
  1 24 4 169499 0.2
  1 25 4 176055 0.2
  1 26 4 181835 0.2
  1 27 4 186898 0.2
  1 28 4 191323 0.2
  1 29 4 195209 0.2
  1 30 4 198665 0.2
  1 31 4 201814 0.2
  1 32 4 204782 0.2
  1 33 4 207691 0.2
  1 34 4 210653 0.2
  1 35 4 213746 0.2
  1 36 4 216987 0.2
  1 37 4 220328 0.2
  1 38 4 223688 0.2
  1 39 4 226986 0.2
  1 40 4 230150 0.2
  1 41 4 233112 0.2
  1 42 4 235810 0.2
  1 1 2 163.077 0.2
  1 4 2 137.106 0.2
  1 5 2 149.308 0.2
  1 6 2 160.532 0.2
  1 7 2 171.619 0.2
  1 8 2 185.792 0.2
  1 9 2 215.427 0.2
  1 10 2 272.318 0.2
  1 11 2 343.715 0.2
  1 12 2 396.002 0.2
  1 13 2 418.593 0.2
  1 14 2 416.027 0.2
  1 15 2 401.802 0.2
  1 16 2 388.251 0.2
  1 17 2 455.995 0.2
  1 18 2 822.814 0.2
  1 19 2 1581.05 0.2
  1 20 2 2289.15 0.2
  1 21 2 2549.06 0.2
  1 22 2 2555.07 0.2
  1 23 2 2454.55 0.2
  1 24 2 2260.7 0.2
  1 25 2 2013.64 0.2
  1 26 2 1866.08 0.2
  1 27 2 1921.67 0.2
  1 28 2 2070 0.2
  1 29 2 2017.62 0.2
  1 30 2 1895.34 0.2
  1 31 2 1888.2 0.2
  1 32 2 2375.89 0.2
  1 33 2 3271.4 0.2
  1 34 2 3639.14 0.2
  1 35 2 3489.34 0.2
  1 36 2 3069.09 0.2
  1 37 2 2560.54 0.2
  1 38 2 2082.48 0.2
  1 39 2 1674.51 0.2
  1 40 2 1363.07 0.2
  1 41 2 1126.91 0.2
  1 42 2 1021.07 0.2
  1 1 1 20851 0.2
  1 2 1 17442.7 0.2
  1 3 1 14108.7 0.2
  1 4 1 11743.9 0.2
  1 5 1 12213.9 0.2
  1 6 1 11805.3 0.2
  1 7 1 10603.2 0.2
  1 8 1 10133 0.2
  1 9 1 9796.73 0.2
  1 10 1 11498.5 0.2
  1 11 1 11652.9 0.2
  1 12 1 10609.6 0.2
  1 13 1 9617.76 0.2
  1 14 1 8343.27 0.2
  1 15 1 7165.38 0.2
  1 16 1 6138.53 0.2
  1 17 1 5230.23 0.2
  1 18 1 4795.66 0.2
  1 19 1 4403.78 0.2
  1 20 1 4137.09 0.2
  1 21 1 5090.17 0.2
  1 22 1 6018.92 0.2
  1 23 1 6565.75 0.2
  1 24 1 6828.26 0.2
  1 25 1 6674.92 0.2
